open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713901800000,66450.20,66468.60,66414.00,66420.10,238.620,1713902099999,15853292.56980,5423,122.971,8169804.60530,0
1713902100000,66420.10,66456.00,66351.10,66456.00,590.812,1713902399999,39232871.76220,10136,238.258,15823622.11270,0
1713902400000,66455.90,66457.10,66368.40,66378.80,595.960,1713902699999,39579357.40910,10919,311.030,20657818.00750,0
1713902700000,66378.70,66380.00,66176.30,66310.50,2394.666,1713902999999,158653496.78650,29821,988.327,65484289.09760,0
1713903000000,66310.50,66324.90,66200.00,66214.70,467.236,1713903299999,30966796.98870,8236,229.416,15206513.32900,0
1713903300000,66214.70,66244.80,66023.00,66048.40,1702.647,1713903599999,112550178.48030,24433,536.129,35438231.54910,0
1713903600000,66048.30,66139.10,65924.70,66083.70,2143.408,1713903899999,141500989.22500,26022,1245.001,82200070.68690,0
1713903900000,66083.80,66199.90,66083.70,66147.60,557.183,1713904199999,36852471.33700,10369,395.624,26167368.62060,0
1713904200000,66147.50,66255.00,66077.20,66234.90,619.920,1713904499999,41031291.08580,12544,369.993,24492494.24870,0
1713904500000,66234.80,66261.30,66208.80,66261.20,340.629,1713904799999,22561062.41200,7064,190.182,12596338.20090,0
1713904800000,66261.20,66300.10,66240.70,66260.00,526.156,1713905099999,34869451.78670,8488,226.696,15024102.62000,0
1713905100000,66260.00,66275.50,66231.90,66261.40,200.738,1713905399999,13298403.73180,5339,86.832,5752457.95270,0
1713905400000,66261.40,66261.40,66211.00,66234.40,201.818,1713905699999,13367615.10360,4879,70.951,4699611.11750,0
1713905700000,66234.40,66332.30,66159.20,66316.20,505.256,1713905999999,33461464.88760,9823,295.449,19570327.98390,0
1713906000000,66316.30,66316.30,66262.80,66307.80,194.456,1713906299999,12889335.98440,4558,90.449,5995405.48120,0
1713906300000,66307.80,66364.10,66274.30,66307.40,263.109,1713906599999,17450835.68920,6222,145.362,9641809.71410,0
1713906600000,66307.30,66318.40,66268.00,66314.80,160.540,1713906899999,10642213.33040,4977,92.408,6126069.06790,0
1713906900000,66314.80,66314.80,66243.10,66294.10,203.121,1713907199999,13460560.22610,4827,71.396,4731477.89920,0
1713907200000,66294.10,66294.10,66250.60,66285.50,178.915,1713907499999,11856666.60330,3916,67.424,4468128.35870,0
1713907500000,66285.50,66420.00,66285.40,66414.40,598.246,1713907799999,39703139.11420,9453,446.512,29632396.75410,0
1713907800000,66414.40,66439.50,66325.50,66326.20,246.372,1713908099999,16356083.86940,5405,83.982,5576747.04620,0
1713908100000,66326.30,66346.60,66286.60,66306.50,162.304,1713908399999,10762131.88550,3888,82.197,5450369.56410,0
1713908400000,66306.50,66310.90,66247.10,66270.20,151.419,1713908699999,10035709.42660,3676,55.433,3673861.90910,0
1713908700000,66270.20,66316.00,66267.00,66315.90,175.801,1713908999999,11653695.85220,3545,130.949,8680395.01060,0
1713909000000,66315.90,66316.20,66219.60,66219.60,183.554,1713909299999,12163717.57700,3883,71.044,4709197.45100,0
1713909300000,66219.60,66360.50,66219.60,66323.50,181.701,1713909599999,12048906.73240,4757,117.313,7778252.24090,0
1713909600000,66323.50,66383.00,66243.00,66370.00,490.473,1713909899999,32526089.29250,8199,240.311,15937082.67970,0
1713909900000,66370.00,66400.00,66323.80,66344.20,351.029,1713910199999,23298641.64070,6832,203.389,13499784.28700,0
1713910200000,66344.20,66410.00,66344.20,66394.30,144.148,1713910499999,9568726.66180,4381,86.021,5709988.38540,0
1713910500000,66395.00,66425.70,66369.50,66425.60,220.469,1713910799999,14639607.70830,4494,114.749,7619712.11530,0
1713910800000,66425.60,66429.00,66345.80,66345.90,149.652,1713911099999,9933942.67810,3602,45.854,3043827.34680,0
1713911100000,66345.80,66363.00,66339.00,66349.00,139.792,1713911399999,9275237.03430,3474,54.487,3615170.53430,0
1713911400000,66349.00,66421.20,66349.00,66366.10,160.806,1713911699999,10675386.67930,4133,91.400,6067537.18950,0
1713911700000,66366.00,66410.00,66350.00,66382.40,113.415,1713911999999,7528664.86540,2944,61.362,4073127.75430,0
1713912000000,66382.40,66417.60,66370.80,66410.10,117.894,1713912299999,7827824.23560,3729,67.056,4452377.51080,0
1713912300000,66410.10,66413.70,66346.50,66374.20,157.015,1713912599999,10423464.27190,3395,56.557,3754373.70020,0
1713912600000,66374.20,66377.30,66254.60,66254.60,312.587,1713912899999,20725146.63110,6357,115.468,7656972.98500,0
1713912900000,66254.70,66338.00,66238.00,66334.00,322.036,1713913199999,21343265.75110,5407,167.706,11114951.81800,0
1713913200000,66334.00,66337.20,66120.90,66140.40,812.148,1713913499999,53765902.48660,11277,251.586,16655018.53620,0
1713913500000,66140.40,66215.80,66074.40,66191.70,862.978,1713913799999,57062054.21240,12174,420.130,27781154.83280,0
1713913800000,66191.50,66244.80,66183.80,66207.10,319.717,1713914099999,21170339.64580,6593,175.916,11648165.66110,0
1713914100000,66207.00,66295.00,66164.50,66294.50,279.085,1713914399999,18489384.56090,7687,157.007,10402582.97360,0
1713914400000,66294.60,66301.70,66239.30,66301.00,164.004,1713914699999,10870602.75270,4883,95.174,6308481.27420,0
1713914700000,66300.90,66350.00,66278.50,66316.40,214.810,1713914999999,14245664.13270,4799,130.810,8675633.39950,0
1713915000000,66316.30,66386.30,66314.00,66344.80,301.144,1713915299999,19985497.52840,5999,172.910,11475241.31740,0
1713915300000,66344.70,66404.60,66344.70,66392.10,163.514,1713915599999,10855050.41300,4259,98.573,6544086.60510,0
1713915600000,66392.10,66402.00,66361.00,66381.20,218.708,1713915899999,14518714.20690,4254,61.471,4080894.86620,0
1713915900000,66381.10,66381.90,66321.00,66352.40,192.340,1713916199999,12761446.98480,4217,74.762,4960399.33470,0
1713916200000,66352.40,66376.40,66346.60,66346.60,122.172,1713916499999,8107566.41220,2995,70.104,4652084.69290,0
1713916500000,66346.60,66394.40,66342.60,66386.30,223.267,1713916799999,14818110.25150,3785,121.257,8048248.77980,0
1713916800000,66386.20,66550.00,66347.20,66509.70,1194.027,1713917099999,79394094.07400,18801,740.111,49211934.98550,0
1713917100000,66509.70,66629.30,66504.30,66541.30,976.236,1713917399999,65002298.18070,15423,527.018,35093035.75430,0
1713917400000,66541.40,66589.20,66504.70,66565.10,321.053,1713917699999,21368647.05620,6935,162.860,10839789.96560,0
1713917700000,66565.00,66565.00,66412.60,66412.70,393.609,1713917999999,26176166.70390,8858,98.445,6548344.95680,0
1713918000000,66412.60,66515.70,66410.00,66434.50,402.672,1713918299999,26763701.96500,8028,168.136,11175780.78840,0
1713918300000,66434.40,66479.80,66416.80,66477.90,277.379,1713918599999,18430831.74250,5456,119.548,7943442.97000,0
1713918600000,66477.80,66536.80,66431.40,66497.40,274.584,1713918899999,18258120.52760,7266,155.963,10371110.74320,0
1713918900000,66497.40,66649.40,66493.00,66588.70,480.582,1713919199999,32000282.10020,10154,259.862,17303657.59760,0
1713919200000,66588.80,66700.00,66557.70,66685.40,638.085,1713919499999,42520052.07030,10962,417.458,27822045.86290,0
1713919500000,66685.40,66723.00,66650.00,66710.10,413.922,1713919799999,27607495.37340,9308,225.487,15039545.88180,0
1713919800000,66710.00,66714.00,66589.20,66666.00,663.421,1713920099999,44218346.34610,12409,217.518,14497224.23710,0
1713920100000,66666.00,66721.80,66645.40,66721.80,243.154,1713920399999,16215209.04390,6324,118.633,7911621.31740,0
1713920400000,66721.80,66819.10,66693.10,66813.60,775.819,1713920699999,51800428.71500,13778,475.534,31752529.91630,0
1713920700000,66813.70,66819.00,66725.00,66732.20,380.229,1713920999999,25388431.98260,8388,120.519,8047419.45500,0
1713921000000,66732.30,66757.20,66640.70,66676.20,355.622,1713921299999,23719891.19660,8466,105.694,7050197.10670,0
