2024-05-01 13:31:15,402 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:15,402 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:15,735 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:15,735 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:17,322 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:17,324 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:17,337 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:17,337 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:18,055 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:18,055 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:18,283 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:18,283 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:18,326 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:18,327 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:18,455 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:18,456 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:19,178 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:19,180 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:20,564 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:20,565 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:23,243 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
